"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," 4bc3bb63-b843-4cbc-9b6a-b58d760dddde","867200295",2015-07-01 00:00:00,2015-07-01 00:03:02,"1",3,182.565999984741,68,58
0," 663c9b64-2862-4ae0-9010-93b2a0dae0a0","867200288",2015-07-01 00:00:21,2015-07-01 00:05:08,"1",15,287.400000095367,88,58
1," b5f17a1a-a0a8-44a9-9930-20ad52586da5","867200253",2015-07-01 00:01:09,2015-07-01 00:03:20,"-2",51,131.881999969482,128,58
1," 3d1fc23f-6d48-4653-bccb-889afe59d883","867200269",2015-07-01 00:01:11,2015-07-01 00:08:58,"-2",67,467.526999950409,138,58
0," fb211fe8-b89d-4054-b470-159fc12335cb","867200222",2015-07-01 00:01:20,2015-07-01 00:31:20,"-1",93,1800,148,58
0," f9db3238-4c05-4337-89a2-fffd8189a98b","867200280",2015-07-01 00:01:26,2015-07-01 00:31:26,"-1",89,1800,148,58
0," a0aac222-85b5-46f2-8d1c-bb7460ed91f9","867200304",2015-07-01 00:01:28,2015-07-01 00:02:40,"1",2,71.5490000247955,148,58
0," 7192524f-c3e0-49e5-b061-cb5ed6de22cd","867200282",2015-07-01 00:01:31,2015-07-01 00:31:31,"-1",95,1800,158,58
0," a2d4fe72-288a-4bd9-b279-8f5e5891f70c","867200251",2015-07-01 00:03:21,2015-07-01 00:33:21,"-1",91,1800,278,-396
0," c6eb5e65-7e1d-44f0-be44-f35eca3df52d","867200210",2015-07-01 00:02:44,2015-07-01 00:32:44,"-1",88,1800,278,-396
0," 9b121ea8-a9e7-4582-919f-e656c95d4105","867200245",2015-07-01 00:04:28,2015-07-01 00:34:28,"-1",86,1800,278,-396
0," 9b4b5a5d-b737-4970-bacf-745d3e80df31","867200283",2015-07-01 00:04:22,2015-07-01 00:34:22,"-1",85,1800,278,-396
0," d658ab06-0f32-4e4c-9d73-f9301548ceed","867200214",2015-07-01 00:04:11,2015-07-01 00:34:11,"-1",84,1800,278,-396
0," aae54e77-dcc2-4e94-a5ec-c233b4e90f96","867200219",2015-07-01 00:04:06,2015-07-01 00:34:06,"-1",92,1800,278,-396
0," d1437fa0-0551-40d5-a4d8-3964f8b7183b","867200265",2015-07-01 00:04:25,2015-07-01 00:34:25,"-1",83,1800,278,-396
0," a13d301b-a86b-44a3-8ab6-41356f8ca1a8","867200268",2015-07-01 00:04:22,2015-07-01 00:34:22,"-1",82,1800,278,-396
0," f95c1421-ffd7-4247-b3a9-0b796e81bb43","867200212",2015-07-01 00:04:12,2015-07-01 00:34:12,"-1",80,1800,278,-396
0," 3fa3c3f6-f802-43fa-b810-989fd55c1ae0","867200227",2015-07-01 00:04:12,2015-07-01 00:34:12,"-1",78,1800,278,-396
0," 403d5ae8-a036-4d38-b9a8-2dee47e1e51e","867200303",2015-07-01 00:04:17,2015-07-01 00:34:17,"-1",77,1800,278,-396
0," b656381c-da76-4a53-9936-a58f34e9eeb9","867200257",2015-07-01 00:04:21,2015-07-01 00:34:21,"-1",76,1800,278,-396
0," b9d71400-9674-4cee-b93a-dfe9791441e6","867200293",2015-07-01 00:03:19,2015-07-01 00:33:19,"-1",75,1800,278,-396
0," d86258ca-3585-450a-8dc8-52240e9eebca","867200274",2015-07-01 00:03:56,2015-07-01 00:33:56,"-1",73,1800,278,-396
0," 079022be-3b09-4aea-b685-0caec95f9361","867200229",2015-07-01 00:02:22,2015-07-01 00:32:22,"-1",72,1800,278,-396
0," 9dd082b9-9bef-460a-b3b0-642c862c95f6","867200256",2015-07-01 00:02:33,2015-07-01 00:32:33,"-1",71,1800,278,-396
