"gave_up","assignment_id","re_unit_id","re_execution_relative_start","re_execution_relative_end","re_evaluation","re_index","re_duration_num","relaunched","with_limit"
0," b3af0376-7510-464e-9d3c-aba468c39fdd","867200403",2015-07-01 00:01:11,2015-07-01 00:31:11,"-1",97,1800,297,222
0," cf0a05aa-13a6-4934-ae59-957ad69da2e1","867200401",2015-07-01 00:01:23,2015-07-01 00:31:23,"-1",94,1800,307,222
0," d6b54a59-ef5b-4bf0-97e0-e6065c293b03","867200365",2015-07-01 00:02:22,2015-07-01 00:32:22,"-1",95,1800,367,222
0," 8ec4135b-251c-4ab7-bc94-6a44cd16de8f","867200390",2015-07-01 00:02:53,2015-07-01 00:32:53,"-1",100,1800,397,222
0," a191055e-c7a5-4d8d-b637-2412ca07f427","867200346",2015-07-01 00:02:45,2015-07-01 00:26:40,"1",93,1435.132999897,397,222
2," f4123ceb-b414-42e1-a387-ea9b5c9c1eae","867200411",2015-07-01 00:03:17,2015-07-01 00:33:17,"-1",66,1800,427,224
0," 35ad369f-b6e9-45e0-bc27-97fbde3e9f98","867200409",2015-07-01 00:03:28,2015-07-01 00:10:06,"1",91,398.461999893188,437,224
0," 64448ad6-9fa9-4c15-bd98-42c26927c007","867200420",2015-07-01 00:03:49,2015-07-01 00:33:49,"-1",96,1800,457,224
0," 332c465b-6d73-4ec3-8e4a-84e198fe0430","867200341",2015-07-01 00:04:03,2015-07-01 00:23:55,"1",92,1192.12800002098,477,224
0," b8268269-324e-4eca-9343-f1fa4ce7df96","867200390",2015-07-01 00:33:00,2015-07-01 01:03:00,"-1",100,1800,2757,773
0," 7954af74-5d2e-4bf4-a9bf-814a4af4d25a","867200390",2015-07-01 01:03:17,2015-07-01 01:33:17,"-1",100,1800,4577,773
