"tp","tn","fp","fn","precision","recall","k_value"
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.4
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.5
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.6
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.7
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.8
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,0.9
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
13,83,3,1,0.81,0.93,1
