"tp","tn","fp","fn","precision","recall","k_value"
1,95,0,2,1,0.33,0
1,95,0,2,1,0.33,0.01
1,94,1,2,0.5,0.33,0.02
1,93,2,2,0.33,0.33,0.03
1,92,3,2,0.25,0.33,0.04
1,90,5,2,0.17,0.33,0.05
1,90,5,2,0.17,0.33,0.06
1,88,7,2,0.13,0.33,0.07
1,88,7,2,0.13,0.33,0.08
1,85,10,2,0.09,0.33,0.09
1,85,10,2,0.09,0.33,0.1
1,85,10,2,0.09,0.33,0.11
2,83,12,1,0.14,0.67,0.12
2,83,12,1,0.14,0.67,0.13
2,83,12,1,0.14,0.67,0.14
2,82,13,1,0.13,0.67,0.15
2,80,15,1,0.12,0.67,0.16
2,80,15,1,0.12,0.67,0.17
2,77,18,1,0.1,0.67,0.18
2,77,18,1,0.1,0.67,0.19
2,77,18,1,0.1,0.67,0.2
2,70,25,1,0.07,0.67,0.25
2,67,28,1,0.07,0.67,0.3
2,61,34,1,0.06,0.67,0.35
2,58,37,1,0.05,0.67,0.4
2,53,42,1,0.05,0.67,0.45
2,48,47,1,0.04,0.67,0.5
2,43,52,1,0.04,0.67,0.55
2,38,57,1,0.03,0.67,0.6
2,33,62,1,0.03,0.67,0.65
2,29,66,1,0.03,0.67,0.7
3,25,70,0,0.04,1,0.75
3,20,75,0,0.04,1,0.8
3,15,80,0,0.04,1,0.85
3,10,85,0,0.03,1,0.9
3,5,90,0,0.03,1,0.95
3,0,95,0,0.03,1,1
