"tp","tn","fp","fn","precision","recall","k_value"
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
36,100,9,0,0.8,1,0.1
36,100,9,0,0.8,1,0.2
36,99,10,0,0.78,1,0.3
36,100,9,0,0.8,1,0.4
36,100,9,0,0.8,1,0.5
36,100,9,0,0.8,1,0.6
36,107,2,0,0.95,1,0.7
36,99,10,0,0.78,1,0.8
15,107,2,21,0.88,0.42,0.9
1,108,1,35,0.5,0.03,1
