"tp","tn","fp","fn","precision","recall","k_value"
55,0,100,0,0.35,1,0.2
55,0,100,0,0.35,1,0.2
55,0,100,0,0.35,1,0.2
55,0,100,0,0.35,1,0.2
55,0,100,0,0.35,1,0.2
55,0,100,0,0.35,1,0.3
55,0,100,0,0.35,1,0.3
55,0,100,0,0.35,1,0.3
55,0,100,0,0.35,1,0.3
55,0,100,0,0.35,1,0.3
47,59,41,8,0.53,0.85,0.4
47,59,41,8,0.53,0.85,0.4
47,59,41,8,0.53,0.85,0.4
47,59,41,8,0.53,0.85,0.4
47,59,41,8,0.53,0.85,0.4
54,26,74,1,0.42,0.98,0.5
54,26,74,1,0.42,0.98,0.5
47,59,41,8,0.53,0.85,0.5
54,26,74,1,0.42,0.98,0.5
54,26,74,1,0.42,0.98,0.5
47,59,41,8,0.53,0.85,0.6
47,59,41,8,0.53,0.85,0.6
47,59,41,8,0.53,0.85,0.6
47,59,41,8,0.53,0.85,0.6
47,59,41,8,0.53,0.85,0.6
47,59,41,8,0.53,0.85,0.7
47,59,41,8,0.53,0.85,0.7
47,59,41,8,0.53,0.85,0.7
47,59,41,8,0.53,0.85,0.7
47,59,41,8,0.53,0.85,0.7
47,59,41,8,0.53,0.85,0.8
47,59,41,8,0.53,0.85,0.8
47,59,41,8,0.53,0.85,0.8
47,59,41,8,0.53,0.85,0.8
47,59,41,8,0.53,0.85,0.8
47,59,41,8,0.53,0.85,0.9
47,59,41,8,0.53,0.85,0.9
47,59,41,8,0.53,0.85,0.9
47,59,41,8,0.53,0.85,0.9
47,59,41,8,0.53,0.85,0.9
47,59,41,8,0.53,0.85,1
47,59,41,8,0.53,0.85,1
47,59,41,8,0.53,0.85,1
47,59,41,8,0.53,0.85,1
47,59,41,8,0.53,0.85,1
