"","assignment_id","re_unit_id","unit_id","abandoned","re_execution_relative_start","dt_start","dt_end","re_execution_relative_end","re_evaluation","re_index"
"1"," 88568162-c614-45b0-90aa-2d4da747f1be","867200228","867200228",0,2015-07-01 00:00:11,2016-01-26 16:23:47,2016-01-26 16:24:46,2015-07-01 00:01:14,"1",1
"2"," a0aac222-85b5-46f2-8d1c-bb7460ed91f9","867200304","867200304",0,2015-07-01 00:01:32,2016-01-26 16:25:09,2016-01-26 16:26:20,2015-07-01 00:02:48,"1",2
"3"," 4bc3bb63-b843-4cbc-9b6a-b58d760dddde","867200295","867200295",0,2015-07-01 00:00:00,2016-01-26 16:23:40,2016-01-26 16:26:43,2015-07-01 00:03:11,"1",3
"4"," 3e7977ce-ed1f-4a87-9fdb-4e4af4a1b832","867200262","867200262",0,2015-07-01 00:02:49,2016-01-26 16:26:23,2016-01-26 16:26:52,2015-07-01 00:03:19,"1",4
"5"," 0ee81c7f-1b10-44ee-bb6d-8f5f4a42eed2","867200205","867200205",0,2015-07-01 00:02:03,2016-01-26 16:25:39,2016-01-26 16:27:25,2015-07-01 00:03:52,"1",5
"6"," 8fcc0fc3-12e9-4d41-a9b1-1d3d762f3e16","867200205","867200205",1,2015-07-01 00:02:03,2016-01-26 16:25:07,2016-01-26 16:25:17,2015-07-01 00:03:52,"-1",5
"7"," 387f579a-57c5-47e7-9dfd-08bb92781490","867200255","867200255",0,2015-07-01 00:02:34,2016-01-26 16:26:33,2016-01-26 16:27:51,2015-07-01 00:04:18,"1",6
"8"," 4dbb8606-8ca0-40b7-868b-318c4104574f","867200220","867200220",0,2015-07-01 00:04:11,2016-01-26 16:27:45,2016-01-26 16:28:16,2015-07-01 00:04:43,"0",7
"9"," b1d2f12a-d5ac-4c5c-9b01-43873bbc52a0","867200232","867200232",0,2015-07-01 00:02:31,2016-01-26 16:26:06,2016-01-26 16:28:24,2015-07-01 00:04:52,"1",8
"10"," cc64a4ab-625b-45ba-89a7-ca99aaade678","867200263","867200263",0,2015-07-01 00:03:26,2016-01-26 16:27:00,2016-01-26 16:28:27,2015-07-01 00:04:54,"1",9
"11"," e13971f2-6264-49e7-9745-0ade0892718b","867200289","867200289",0,2015-07-01 00:04:00,2016-01-26 16:27:34,2016-01-26 16:28:29,2015-07-01 00:04:57,"1",10
"12"," e19bc924-8c6b-4868-8ebd-1e7e9846a856","867200211","867200211",0,2015-07-01 00:03:20,2016-01-26 16:26:54,2016-01-26 16:28:31,2015-07-01 00:04:59,"1",11
"13"," 33b21163-87b9-425d-8767-4c92c38b295b","867200276","867200276",0,2015-07-01 00:04:04,2016-01-26 16:27:38,2016-01-26 16:28:31,2015-07-01 00:04:59,"1",12
"14"," b070994c-768a-4df9-8166-2af6c0a26047","867200242","867200242",0,2015-07-01 00:04:44,2016-01-26 16:28:21,2016-01-26 16:28:43,2015-07-01 00:05:10,"0",13
"15"," 47cc5b53-94f9-4ac4-84b4-d4f11cb1839a","867200234","867200234",0,2015-07-01 00:03:15,2016-01-26 16:26:56,2016-01-26 16:28:49,2015-07-01 00:05:16,"1",14
"16"," 5740da39-4bcd-4624-8ec0-493dc84a054f","867200244","867200244",0,2015-07-01 00:05:11,2016-01-26 16:28:45,2016-01-26 16:28:50,2015-07-01 00:05:17,"0",15
"17"," 663c9b64-2862-4ae0-9010-93b2a0dae0a0","867200288","867200288",0,2015-07-01 00:00:24,2016-01-26 16:24:01,2016-01-26 16:28:49,2015-07-01 00:05:17,"1",16
"18"," b611cd66-043a-4c40-98f2-e473e4e18464","867200267","867200267",0,2015-07-01 00:03:41,2016-01-26 16:27:23,2016-01-26 16:28:51,2015-07-01 00:05:19,"1",17
"19"," 66b3e06f-d260-4638-85bf-35e00c4c1fa1","867200260","867200260",0,2015-07-01 00:04:03,2016-01-26 16:27:39,2016-01-26 16:28:54,2015-07-01 00:05:21,"1",18
"20"," 499ac11e-85ca-4ac5-b6d5-1f9608fe3f1b","867200296","867200296",0,2015-07-01 00:03:53,2016-01-26 16:27:27,2016-01-26 16:28:55,2015-07-01 00:05:22,"1",19
"21"," c29408c0-71fc-4202-aa59-1feaf563cf48","861948358","861948358",0,2015-07-01 00:04:03,2016-01-26 16:27:45,2016-01-26 16:28:56,2015-07-01 00:05:23,"1",20
"22"," b1577e0f-7497-4ca5-af3d-8677c1600f3a","867200279","867200279",0,2015-07-01 00:05:18,2016-01-26 16:28:52,2016-01-26 16:28:57,2015-07-01 00:05:25,"0",21
"23"," 1da766c3-ee7a-45ff-9e95-1b99efc7d735","867200221","867200221",0,2015-07-01 00:04:58,2016-01-26 16:28:32,2016-01-26 16:29:01,2015-07-01 00:05:28,"1",22
"24"," 1155983b-c9cb-4a13-a3b0-d34dd57a1408","867200223","867200223",0,2015-07-01 00:04:19,2016-01-26 16:28:04,2016-01-26 16:29:07,2015-07-01 00:05:31,"1",23
"25"," 64caf5fc-8d71-4cba-948e-db39f23bff53","867200216","867200216",0,2015-07-01 00:04:18,2016-01-26 16:27:52,2016-01-26 16:29:06,2015-07-01 00:05:33,"1",24
"26"," 54748add-7821-4959-97a3-70d36695fd30","867200225","867200225",0,2015-07-01 00:05:26,2016-01-26 16:28:59,2016-01-26 16:29:05,2015-07-01 00:05:33,"0",25
"27"," 09fbda5b-c6ae-4ff7-bacf-e5699e6809ae","867200290","867200290",0,2015-07-01 00:05:34,2016-01-26 16:29:07,2016-01-26 16:29:13,2015-07-01 00:05:41,"0",26
"28"," 7f44116b-0eb3-407f-a46e-5179a6074ca4","867200273","867200273",0,2015-07-01 00:05:42,2016-01-26 16:29:15,2016-01-26 16:29:21,2015-07-01 00:05:48,"0",27
"29"," d64df05a-0453-4640-8773-625deec0314b","867200258","867200258",0,2015-07-01 00:04:21,2016-01-26 16:27:58,2016-01-26 16:29:21,2015-07-01 00:05:49,"1",28
"30"," 8e5be9f4-71f7-4805-a253-f7204c58641f","867200213","867200213",0,2015-07-01 00:03:03,2016-01-26 16:27:06,2016-01-26 16:29:28,2015-07-01 00:05:55,"1",29
"31"," ba51eca9-7648-435d-bbad-fcdf88ce0ac9","867200275","867200275",0,2015-07-01 00:05:49,2016-01-26 16:29:23,2016-01-26 16:29:27,2015-07-01 00:05:55,"0",30
"32"," bfc94e71-c81a-4f40-9b9e-ae87f52ed926","867200266","867200266",0,2015-07-01 00:04:54,2016-01-26 16:28:28,2016-01-26 16:29:34,2015-07-01 00:06:01,"1",31
"33"," 366ae0b1-3902-41c9-a739-1891198739f0","867200235","867200235",0,2015-07-01 00:04:59,2016-01-26 16:28:40,2016-01-26 16:29:35,2015-07-01 00:06:03,"1",32
"34"," 294b6340-eddb-484a-8f6d-50d389480de9","867200301","867200301",0,2015-07-01 00:05:00,2016-01-26 16:28:33,2016-01-26 16:29:36,2015-07-01 00:06:04,"1",33
"35"," 7f4aaacc-b711-4253-8612-f425642d7734","867200264","867200264",0,2015-07-01 00:04:53,2016-01-26 16:28:26,2016-01-26 16:29:38,2015-07-01 00:06:05,"1",34
"36"," 328bfcfd-2c1e-4def-a6c2-6c5044ff9e95","867200233","867200233",0,2015-07-01 00:03:12,2016-01-26 16:26:46,2016-01-26 16:29:40,2015-07-01 00:06:08,"1",35
"37"," 25312bdc-361a-4a80-92a3-27ee41465234","867200302","867200302",0,2015-07-01 00:05:34,2016-01-26 16:29:08,2016-01-26 16:29:43,2015-07-01 00:06:10,"1",36
"38"," 9e967b44-6ee9-48ce-9175-fb5241b12fe5","867200261","867200261",0,2015-07-01 00:05:30,2016-01-26 16:29:04,2016-01-26 16:29:45,2015-07-01 00:06:12,"1",37
"39"," 99526c90-0ca1-4ee1-a8a0-d8aafe6942cc","867200224","867200224",0,2015-07-01 00:05:00,2016-01-26 16:28:34,2016-01-26 16:29:52,2015-07-01 00:06:20,"1",38
"40"," acfb7f36-8bcb-48cc-ab21-30715b8d6a9e","867200278","867200278",0,2015-07-01 00:04:57,2016-01-26 16:28:34,2016-01-26 16:29:54,2015-07-01 00:06:21,"1",39
"41"," 5a8d184d-c858-4dbe-8064-3245195d021f","867200248","867200248",0,2015-07-01 00:05:23,2016-01-26 16:28:57,2016-01-26 16:29:56,2015-07-01 00:06:22,"1",40
"42"," b3de523c-58c7-4e8a-851e-448ed3ce9f91","867200285","867200285",0,2015-07-01 00:05:17,2016-01-26 16:28:52,2016-01-26 16:30:01,2015-07-01 00:06:28,"1",41
"43"," c402f2c6-7de1-4e5e-a0d6-e5731e3c4792","867200217","867200217",0,2015-07-01 00:03:56,2016-01-26 16:27:43,2016-01-26 16:30:06,2015-07-01 00:06:31,"1",42
"44"," 421569cf-35f2-48da-a27f-a20c78cb6b6d","867200299","867200299",0,2015-07-01 00:05:25,2016-01-26 16:29:00,2016-01-26 16:30:06,2015-07-01 00:06:31,"1",43
"45"," 56423d4c-5d21-49ec-ab85-4798423bc38c","867200297","867200297",0,2015-07-01 00:05:23,2016-01-26 16:28:59,2016-01-26 16:30:09,2015-07-01 00:06:36,"1",44
"46"," 378d875a-3324-442b-b94f-08fd5cb2446f","867200237","867200237",1,2015-07-01 00:04:43,2016-01-26 16:27:33,2016-01-26 16:28:07,2015-07-01 00:06:37,"-1",45
"47"," e3223ad0-88ff-464f-b13c-0d0a43ef560c","867200237","867200237",0,2015-07-01 00:04:43,2016-01-26 16:28:24,2016-01-26 16:30:09,2015-07-01 00:06:37,"1",45
"48"," 1e5606f7-896e-4722-b16f-8708456578d9","867200292","867200292",0,2015-07-01 00:05:35,2016-01-26 16:29:12,2016-01-26 16:30:13,2015-07-01 00:06:39,"1",46
"49"," b9f4e635-cdee-480f-bc09-6683bcd50147","867200241","867200241",0,2015-07-01 00:04:17,2016-01-26 16:27:59,2016-01-26 16:30:17,2015-07-01 00:06:44,"1",47
"50"," 058e7b7a-a407-49c6-be24-effbdac42870","867200291","867200291",0,2015-07-01 00:03:53,2016-01-26 16:28:27,2016-01-26 16:30:17,2015-07-01 00:06:45,"1",48
"51"," 2edf0917-0b6f-4a57-b52b-47dc5f4bb663","867200231","867200231",0,2015-07-01 00:05:09,2016-01-26 16:28:44,2016-01-26 16:30:29,2015-07-01 00:06:56,"1",49
