"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 3, 88, 0, 6, 1, 0.333333333333333, 0
"2", 3, 88, 0, 6, 1, 0.333333333333333, 0.01
"3", 3, 88, 0, 6, 1, 0.333333333333333, 0.02
"4", 3, 88, 0, 6, 1, 0.333333333333333, 0.03
"5", 6, 88, 0, 3, 1, 0.666666666666667, 0.04
"6", 6, 88, 0, 3, 1, 0.666666666666667, 0.05
"7", 6, 88, 0, 3, 1, 0.666666666666667, 0.06
"8", 7, 88, 0, 2, 1, 0.777777777777778, 0.07
"9", 7, 86, 2, 2, 0.777777777777778, 0.777777777777778, 0.08
"10", 7, 86, 2, 2, 0.777777777777778, 0.777777777777778, 0.09
"11", 8, 86, 2, 1, 0.8, 0.888888888888889, 0.1
"12", 8, 85, 3, 1, 0.727272727272727, 0.888888888888889, 0.11
"13", 8, 83, 5, 1, 0.615384615384615, 0.888888888888889, 0.12
"14", 8, 83, 5, 1, 0.615384615384615, 0.888888888888889, 0.13
"15", 8, 81, 7, 1, 0.533333333333333, 0.888888888888889, 0.14
"16", 8, 81, 7, 1, 0.533333333333333, 0.888888888888889, 0.15
"17", 8, 80, 8, 1, 0.5, 0.888888888888889, 0.16
"18", 8, 79, 9, 1, 0.470588235294118, 0.888888888888889, 0.17
"19", 8, 77, 11, 1, 0.421052631578947, 0.888888888888889, 0.18
"20", 8, 77, 11, 1, 0.421052631578947, 0.888888888888889, 0.19
"21", 8, 76, 12, 1, 0.4, 0.888888888888889, 0.2
