"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 28, 101, 2, 0, "0.933333333333333", 1, 0
"2", 28, 101, 2, 0, "0.933333333333333", 1, 0.1
"3", 28, 101, 2, 0, "0.933333333333333", 1, 0.2
"4", 28, 101, 2, 0, "0.933333333333333", 1, 0.3
"5", 28, 101, 2, 0, "0.933333333333333", 1, 0.4
"6", 28, 101, 2, 0, "0.933333333333333", 1, 0.5
"7", 28, 101, 2, 0, "0.933333333333333", 1, 0.6
"8", 28, 101, 2, 0, "0.933333333333333", 1, 0.7
"9", 15, 102, 1, 13, "0.9375", 0.535714285714286, 0.8
"10", 20, 102, 1, 8, "0.952380952380952", 0.714285714285714, 0.9
"11", 0, 103, 0, 28, NA, 0, 1
