"tp" "tn" "fp" "fn" "precision" "recall" "k_value"
"1" 36 106 3 0 "0.923076923076923" 1 0
"2" 36 106 3 0 "0.923076923076923" 1 0.01
"3" 36 106 3 0 "0.923076923076923" 1 0.02
"4" 36 106 3 0 "0.923076923076923" 1 0.03
"5" 36 106 3 0 "0.923076923076923" 1 0.04
"6" 36 106 3 0 "0.923076923076923" 1 0.05
"7" 36 106 3 0 "0.923076923076923" 1 0.06
"8" 36 106 3 0 "0.923076923076923" 1 0.07
"9" 36 106 3 0 "0.923076923076923" 1 0.08
"10" 36 107 2 0 "0.947368421052632" 1 0.09
"11" 36 107 2 0 "0.947368421052632" 1 0.1
"12" 36 107 2 0 "0.947368421052632" 1 0.11
"13" 36 107 2 0 "0.947368421052632" 1 0.12
"14" 36 107 2 0 "0.947368421052632" 1 0.13
"15" 35 107 2 1 "0.945945945945946" 0.972222222222222 0.14
"16" 28 107 2 8 "0.933333333333333" 0.777777777777778 0.15
"17" 22 107 2 14 "0.916666666666667" 0.611111111111111 0.16
"18" 6 108 1 30 "0.857142857142857" 0.166666666666667 0.17
"19" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.18
"20" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.19
"21" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.2
"22" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.21
"23" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.22
"24" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.23
"25" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.24
"26" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.25
"27" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.26
"28" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.27
"29" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.28
"30" 5 108 1 31 "0.833333333333333" 0.138888888888889 0.29
"31" 3 108 1 33 "0.75" 0.0833333333333333 0.3
"32" 2 108 1 34 "0.666666666666667" 0.0555555555555556 0.31
"33" 2 108 1 34 "0.666666666666667" 0.0555555555555556 0.32
"34" 1 108 1 35 "0.5" 0.0277777777777778 0.33
"35" 1 108 1 35 "0.5" 0.0277777777777778 0.34
"36" 1 108 1 35 "0.5" 0.0277777777777778 0.35
"37" 1 108 1 35 "0.5" 0.0277777777777778 0.36
"38" 1 108 1 35 "0.5" 0.0277777777777778 0.37
"39" 1 108 1 35 "0.5" 0.0277777777777778 0.38
"40" 1 108 1 35 "0.5" 0.0277777777777778 0.39
"41" 1 108 1 35 "0.5" 0.0277777777777778 0.4
"42" 1 108 1 35 "0.5" 0.0277777777777778 0.41
"43" 1 108 1 35 "0.5" 0.0277777777777778 0.42
"44" 1 108 1 35 "0.5" 0.0277777777777778 0.43
"45" 1 108 1 35 "0.5" 0.0277777777777778 0.44
"46" 1 108 1 35 "0.5" 0.0277777777777778 0.45
"47" 1 108 1 35 "0.5" 0.0277777777777778 0.46
"48" 1 108 1 35 "0.5" 0.0277777777777778 0.47
"49" 1 108 1 35 "0.5" 0.0277777777777778 0.48
"50" 1 108 1 35 "0.5" 0.0277777777777778 0.49
"51" 1 108 1 35 "0.5" 0.0277777777777778 0.5
"52" 1 108 1 35 "0.5" 0.0277777777777778 0.51
"53" 1 108 1 35 "0.5" 0.0277777777777778 0.52
"54" 1 108 1 35 "0.5" 0.0277777777777778 0.53
"55" 1 108 1 35 "0.5" 0.0277777777777778 0.54
"56" 1 108 1 35 "0.5" 0.0277777777777778 0.55
"57" 1 108 1 35 "0.5" 0.0277777777777778 0.56
"58" 1 108 1 35 "0.5" 0.0277777777777778 0.57
"59" 1 108 1 35 "0.5" 0.0277777777777778 0.58
"60" 1 108 1 35 "0.5" 0.0277777777777778 0.59
"61" 1 108 1 35 "0.5" 0.0277777777777778 0.6
"62" 1 108 1 35 "0.5" 0.0277777777777778 0.61
