"tp", "tn", "fp", "fn", "precision", "recall", "k_value"
"1", 55, 0, 100, 0, 0.354838709677419, 1, 0.1
"2", 55, 0, 100, 0, 0.354838709677419, 1, 0.2
"3", 55, 0, 100, 0, 0.354838709677419, 1, 0.3
"4", 53, 42, 58, 2, 0.477477477477477, 0.963636363636364, 0.4
"5", 43, 84, 16, 12, 0.728813559322034, 0.781818181818182, 0.5
"6", 40, 93, 7, 15, 0.851063829787234, 0.727272727272727, 0.6
"7", 40, 93, 7, 15, 0.851063829787234, 0.727272727272727, 0.7
"8", 38, 95, 5, 17, 0.883720930232558, 0.690909090909091, 0.8
"9", 38, 95, 5, 17, 0.883720930232558, 0.690909090909091, 0.9
"10", 38, 98, 2, 17, 0.95, 0.690909090909091, 1
